"Value","Timestamp"
"81.444796","2025-07-26T21:00:00.000Z"
"81.37244874999999","2025-07-26T21:04:00.000Z"
"81.295918","2025-07-26T21:08:00.000Z"
"81.41081274999999","2025-07-26T21:12:00.000Z"
"81.41666649999999","2025-07-26T21:16:00.000Z"
"81.16808075","2025-07-26T21:20:00.000Z"
"81.22850125","2025-07-26T21:24:00.000Z"
"81.3093255","2025-07-26T21:28:00.000Z"
"81.41391525","2025-07-26T21:32:00.000Z"
"81.53365425","2025-07-26T21:36:00.000Z"
"81.51932500000001","2025-07-26T21:40:00.000Z"
"81.509804","2025-07-26T21:44:00.000Z"
"81.5","2025-07-26T21:48:00.000Z"
"81.525","2025-07-26T21:52:00.000Z"
"81.6031915","2025-07-26T21:56:00.000Z"
"81.510638","2025-07-26T22:00:00.000Z"
"81.45744675","2025-07-26T22:04:00.000Z"
"81.351064","2025-07-26T22:08:00.000Z"
"81.346099","2025-07-26T22:12:00.000Z"
"81.35","2025-07-26T22:16:00.000Z"
"81.41347525","2025-07-26T22:20:00.000Z"
"81.45872349999999","2025-07-26T22:24:00.000Z"
"81.44","2025-07-26T22:28:00.000Z"
"81.43","2025-07-26T22:32:00.000Z"
"81.42500000000001","2025-07-26T22:36:00.000Z"
"81.42","2025-07-26T22:40:00.000Z"
"81.42","2025-07-26T22:44:00.000Z"
"81.45018825","2025-07-26T22:48:00.000Z"
"81.459184","2025-07-26T22:52:00.000Z"
"81.459184","2025-07-26T22:56:00.000Z"
"81.520408","2025-07-26T23:00:00.000Z"
"81.540816","2025-07-26T23:04:00.000Z"
"81.540816","2025-07-26T23:08:00.000Z"
"81.540816","2025-07-26T23:12:00.000Z"
"81.520408","2025-07-26T23:16:00.000Z"
"81.5","2025-07-26T23:20:00.000Z"
"81.5","2025-07-26T23:24:00.000Z"
"81.5","2025-07-26T23:28:00.000Z"
"81.5","2025-07-26T23:32:00.000Z"
"81.5","2025-07-26T23:36:00.000Z"
"81.5","2025-07-26T23:40:00.000Z"
"81.4907405","2025-07-26T23:44:00.000Z"
"81.481481","2025-07-26T23:48:00.000Z"
"81.481481","2025-07-26T23:52:00.000Z"
"81.472222","2025-07-26T23:56:00.000Z"
"81.462963","2025-07-27T00:00:00.000Z"
"81.40074075","2025-07-27T00:04:00.000Z"
"81.37222225000001","2025-07-27T00:08:00.000Z"
"81.38059825","2025-07-27T00:12:00.000Z"
"81.384615","2025-07-27T00:16:00.000Z"
"81.382353","2025-07-27T00:20:00.000Z"
"81.382353","2025-07-27T00:24:00.000Z"
"81.401961","2025-07-27T00:28:00.000Z"
"81.4460785","2025-07-27T00:32:00.000Z"
"81.476203","2025-07-27T00:36:00.000Z"
