94728KNYC NYC20250801000013908/01/25 00:00:31  5-MIN KNYC 010500Z AUTO 05010G20KT 020V090 10SM BKN011 OVC037 18/17 A3009 0 93 400 070/10G20 030V100 RMK AO2 T01830172 $
94728KNYC NYC20250801000512308/01/25 00:05:31  5-MIN KNYC 010505Z AUTO 05011G20KT 10SM BKN011 OVC038 18/17 A3009 0 90 400 070/11G20 RMK AO2 T01830167 $
94728KNYC NYC20250801001014508/01/25 00:10:31  5-MIN KNYC 010510Z AUTO 04010G17KT 350V080 8SM BKN011 BKN029 OVC038 18/17 A3009 0 93 400 050/10G17 360V090 RMK AO2 T01830172 $
94728KNYC NYC20250801001514808/01/25 00:15:31  5-MIN KNYC 010515Z AUTO 05010G18KT 360V070 5SM BR BKN012 BKN029 OVC038 18/17 A3009 0 90 400 070/10G18 010V080 RMK AO2 T01830167 $
94728KNYC NYC20250801002016408/01/25 00:20:31  5-MIN KNYC 010520Z AUTO 04011G18KT 010V080 5SM -RA BR BKN012 BKN031 OVC038 18/17 A3009 0 93 400 060/11G18 020V090 RMK AO2 RAB16 P0000 T01830172 $
94728KNYC NYC20250801002514108/01/25 00:25:31  5-MIN KNYC 010525Z AUTO 05009G17KT 5SM -RA BR BKN010 OVC031 18/17 A3009 0 93 400 070/09G17 RMK AO2 RAB16 P0000 T01830172 $
94728KNYC NYC20250801003014808/01/25 00:30:31  5-MIN KNYC 010530Z AUTO VRB05G17KT 5SM -RA BR BKN010 BKN013 OVC032 18/17 A3009 0 93 400 VRB/05G17 RMK AO2 RAB16 P0000 T01830172 $
94728KNYC NYC20250801003514208/01/25 00:35:31  5-MIN KNYC 010535Z AUTO 05011G18KT 6SM -RA BR BKN010 OVC032 18/17 A3009 10 90 400 060/11G18 RMK AO2 RAB16 P0000 T01830167 $
94728KNYC NYC20250801004016108/01/25 00:40:31  5-MIN KNYC 010540Z AUTO 05012G18KT 020V080 9SM BKN010 BKN033 OVC046 18/17 A3008 10 90 400 060/12G18 030V090 RMK AO2 RAB16E39 P0000 T01830167 $
94728KNYC NYC20250801004517208/01/25 00:45:31  5-MIN KNYC 010545Z 05011G18KT 10SM BKN010 BKN032 OVC046 18/17 A3009 10 90 400 060/11G18 RMK AO2 RAB16E39 SLP177 P0000 60013 T01830167 10211 20183 53014 $
94728KNYC NYC20250801005017108/01/25 00:50:31  5-MIN KNYC 010550Z VRB05G18KT 10SM BKN010 BKN030 OVC046 18/17 A3009 0 90 400 VRB/05G18 RMK AO2 RAB16E39 SLP179 P0000 60013 T01830167 10211 20183 53014 $
94728KNYC NYC20250801005511808/01/25 00:55:31  5-MIN KNYC 010555Z VRB03G16KT 10SM BKN010 OVC046 18/17 A3009 0 93 400 VRB/03G16 RMK AO2 T01830172 $
94728KNYC NYC20250801010012508/01/25 01:00:31  5-MIN KNYC 010600Z 06010G17KT 10SM BKN011 BKN014 OVC046 18/17 A3009 0 93 400 070/10G17 RMK AO2 T01830172 $
94728KNYC NYC20250801010513408/01/25 01:05:31  5-MIN KNYC 010605Z 04008G17KT 350V080 10SM BKN011 OVC047 18/17 A3009 0 90 400 050/08G17 360V090 RMK AO2 T01830167 $
94728KNYC NYC20250801011012708/01/25 01:10:31  5-MIN KNYC 010610Z 06007G17KT 020V090 10SM OVC011 18/17 A3009 0 90 400 070/07G17 030V100 RMK AO2 T01830167 $
94728KNYC NYC20250801011511108/01/25 01:15:31  5-MIN KNYC 010615Z VRB05G17KT 10SM OVC011 18/17 A3009 0 90 400 VRB/05G17 RMK AO2 T01830167 $
94728KNYC NYC20250801012011108/01/25 01:20:31  5-MIN KNYC 010620Z 06009G15KT 10SM OVC012 18/17 A3009 0 90 400 070/09G15 RMK AO2 T01830167 $
94728KNYC NYC20250801012512708/01/25 01:25:31  5-MIN KNYC 010625Z 04009G16KT 320V080 10SM OVC012 18/17 A3009 0 90 400 050/09G16 330V090 RMK AO2 T01830167 $
94728KNYC NYC20250801013011108/01/25 01:30:31  5-MIN KNYC 010630Z 04008G16KT 10SM OVC012 18/17 A3009 0 90 400 060/08G16 RMK AO2 T01830167 $
94728KNYC NYC20250801013512708/01/25 01:35:31  5-MIN KNYC 010635Z 05008G16KT 020V090 10SM OVC012 18/17 A3009 0 90 400 070/08G16 030V100 RMK AO2 T01830167 $
94728KNYC NYC20250801014012708/01/25 01:40:31  5-MIN KNYC 010640Z 05008G16KT 020V080 10SM OVC012 18/17 A3010 0 90 400 070/08G16 030V090 RMK AO2 T01830167 $
94728KNYC NYC20250801014515008/01/25 01:45:31  5-MIN KNYC 010645Z 03008G16KT 350V050 10SM -RA OVC012 18/17 A3010 0 90 400 040/08G16 360V060 RMK AO2 RAB43 SLP183 P0000 T01830167 $
94728KNYC NYC20250801015013408/01/25 01:50:31  5-MIN KNYC 010650Z 04008G15KT 10SM -RA OVC014 18/16 A3010 0 87 400 060/08G15 RMK AO2 RAB43 SLP183 P0000 T01830161 $
94728KNYC NYC20250801015513908/01/25 01:55:31  5-MIN KNYC 010655Z 05008G15KT 020V080 10SM OVC014 18/16 A3010 0 87 400 060/08G15 030V090 RMK AO2 RAE55 P0000 T01830161 $
94728KNYC NYC20250801020012508/01/25 02:00:31  5-MIN KNYC 010700Z 01009G16KT 10SM OVC014 18/16 A3010 0 90 400 030/09G16 RMK AO2 RAE0655 P0000 T01780161 $
94728KNYC NYC20250801020514308/01/25 02:05:31  5-MIN KNYC 010705Z 03007G16KT 340V090 10SM OVC014 18/16 A3010 -10 90 400 050/07G16 350V100 RMK AO2 RAE0655 P0000 T01780161 $
94728KNYC NYC20250801021013508/01/25 02:10:31  5-MIN KNYC 010710Z 02008KT 300V060 10SM OVC014 18/16 A3010 0 90 400 030/08 310V070 RMK AO2 RAE0655 P0000 T01780161 $
94728KNYC NYC20250801021514308/01/25 02:15:31  5-MIN KNYC 010715Z 03009G16KT 350V060 10SM OVC014 18/16 A3010 -10 90 400 040/09G16 360V070 RMK AO2 RAE0655 P0000 T01780161 $
94728KNYC NYC20250801022014308/01/25 02:20:31  5-MIN KNYC 010720Z 03007G16KT 360V080 10SM OVC015 18/16 A3010 -10 87 400 040/07G16 010V090 RMK AO2 RAE0655 P0000 T01780156 $
94728KNYC NYC20250801022512708/01/25 02:25:31  5-MIN KNYC 010725Z VRB06G15KT 10SM OVC015 18/16 A3010 -10 84 400 VRB/06G15 RMK AO2 RAE0655 P0000 T01830156 $
94728KNYC NYC20250801023012708/01/25 02:30:31  5-MIN KNYC 010730Z 03010G17KT 10SM OVC015 18/16 A3010 -10 87 400 050/10G17 RMK AO2 RAE0655 P0000 T01830161 $
94728KNYC NYC20250801023512708/01/25 02:35:31  5-MIN KNYC 010735Z 04011G19KT 10SM OVC015 18/16 A3010 -10 87 400 060/11G19 RMK AO2 RAE0655 P0000 T01780156 $
94728KNYC NYC20250801024014308/01/25 02:40:31  5-MIN KNYC 010740Z 04008G20KT 360V080 10SM OVC015 18/16 A3010 -10 84 400 050/08G20 010V090 RMK AO2 RAE0655 P0000 T01830156 $
94728KNYC NYC20250801024515008/01/25 02:45:31  5-MIN KNYC 010745Z 04007G20KT 010V070 10SM OVC015 18/16 A3010 -10 87 400 060/07G20 020V080 RMK AO2 RAE0655 SLP185 P0000 T01780156 $
94728KNYC NYC20250801025013408/01/25 02:50:31  5-MIN KNYC 010750Z 03008G17KT 10SM OVC014 18/16 A3011 -10 87 400 040/08G17 RMK AO2 RAE0655 SLP185 P0000 T01780156 $
94728KNYC NYC20250801025512908/01/25 02:55:31  5-MIN KNYC 010755Z 02008G16KT 350V050 10SM OVC014 18/16 A3010 -10 87 400 040/08G16 360V060 RMK AO2 T01780156 $
94728KNYC NYC20250801030011308/01/25 03:00:31  5-MIN KNYC 010800Z 03010G18KT 10SM OVC014 18/16 A3010 -10 87 400 050/10G18 RMK AO2 T01780156 $
94728KNYC NYC20250801030512708/01/25 03:05:31  5-MIN KNYC 010805Z 04009G18KT 010V080 10SM OVC014 18/16 A3010 0 87 400 060/09G18 020V090 RMK AO2 T01780156 $
